Username,Tanggal,Rating,Isi Review,Label Sentimen
Warno Irawan,11 Juli 2025,3,"Aplikasinya ringan, mudah digunakan buat bayar pajak, pengesahan dan banyak pilihan pembayaran. Cuma setelah pembayaran pengiriman stnk nya sangat lama, semingguan masih belum ada proses juga gatau sampai kapan. Padahal ongkir nya lumayan mahal juga, mohon diperbaiki untuk pencetakan dan pengiriman agar lebih cepat. Masa cetak selembaran doang harus berminggu-minggu",
SAP,12 Juli 2025,5,"selalu pakai layanan Signal, simpel, gampang dan sat set banget.. tapi tolong pilihan pengiriman jgn pos aja, selalu ada aja masalah di pengiriman.. kurir pos ampun deh.. tolong ya pak/bu kasih pilihan kurir lainnya, selain pos indonesia.. pliss inimah",
Triana Zainatul Q,14 Juli 2025,1,Tolong systemnya diupgrade lagi agar bisa melakukan pembayaran pajak yang lewat kurang dari 2 bulan. Padahal di bagian F&Q pembayaran online bisa dilakukan jika keterlambatan tidak lebih dari 2 bulan tp nyatanya saya coba ttep tidak bisa dan harus datang ke samsat kota asal. Atau setidaknya setidaknya sediakan layanan autodebet agar tidak terjadi keterlambatan,
Bawono,12 Juli 2025,5,"bagus, bagi yg tidak punya waktu untuk ke kantor samsat sangat membantu. cuma biaya plus plusnya lumayan banyak, hampir 20% dari pajak yg harus di bayarkan. usul saja kalau bisa jasa pengiriman kita bisa pilih, ada opsi lah sehingga masyarakat bisa cost down. aver all its OK Good, MANTAP",
Sandy Akbar,11 Juli 2025,3,"Sempat muncul notif tidak dapat didaftarkan ketika proses pendaftaran pengesahan STNK, terpaksa datang ke Samsat utk dicek di loket TU Pajak. Akhirnya problem bisa diselesaikan, proses di aplikasi Signal lancar sampai di proses pembayaran via mobile banking dan langsung ambil stnk yg sudah jadi di loket yg sama. Terima kasih petugas di loket TU yg helpfu",
agung pratama,12 Juli 2025,1,tahun sebelumnya lancar dg signal. sekarang tidak. selalu error TI68 saat pembayaran. sudah uninstall dan install ulang tapi selalu gagal transaksi Timeout. Sumatera Barat.,
Hendra Lesmana,11 Juli 2025,1,"bayar pajak via aplikasi ,udh bayar lunas + biaya pengantaran ,di aplikasi udah selesai di kirim barang ga datang² di lacak resi di kantor pos data tidak ditemukan !! ngechat cs malah di suruh sabar",
Martina Indriyasari,11 Juli 2025,5,"ada aplikasi signal mempermudah bayar stnk, apalagi yang tinggal di luar kota pakai aplikasi signal lebih efisien, jadi tidak harus bolak balik pulkam,terima kasih samsat",
Eka,12 Juli 2025,5,"Keren, aplikasinya mudah, simpel, dan sederhana. Tahun ini merantau dan aplikasi ini sgt memudahkan dalam pembayaran pajak. Thank u samsat, maju terus ",
Elia Roza,10 Juli 2025,2,"terbantu sih untuk pembayaran,tapi untuk pengiriman dokumen sudah sebulan, status masih pra-collecting, tidak ada estimasi waktu pengiriman, sepertinya tidak recomended untuk pengiriman dokumen",
Sapril Bachri,11 Juli 2025,1,Lagi Register akun Sudah Masukin Data KTP yg sesuai .. pas submit malah keterangannya data kependudukan tidak sesuai .. gimana ceritanya Upload foto + input NIK + Nama Sesuai tapi pas submit malah data kependudukannya malah tertera tidak sesuai,
Riyanto Nur,14 Juli 2025,5,"joss mantap, sangat mudah dan tidak ribet, terima kasih signal, pokoke joss, salam presisi, lima tahunan donk biar ganti plat nomor jg bisa online",
Anes Roses,12 Juli 2025,5,"bener² mempermudah, semoga ada juga yang 5 Tahunan begini, hasil gesek no rangka dan no mesin utk pajak 5 Tahunan bisa di foto saja ke aplikasi signal itu hasil pengisian kertas geseknya",
qmx,14 Juli 2025,1,"bayar pajak kok di persulit, udah coba dari bulan 6 sampek sekarang gak bisa buat areal bengkulu, asik pemeliharaan katanya tanpa tindak lanjut, biarlah pajak motor sama mobil di rumah ini gak bayar semua karna di persulittt 👎👎",
Nik Erik,14 Juli 2025,5,"penggunaan aplikasi signal simple dan sangat membantu untuk urusan samsat menyamsat kedaraan hak milik an pribadi, semoga aplikasi ini terus bekembang untuk lebih bagus kedepannya.",
Inisial E B,9 Juli 2025,3,"sudah 1 bulan pajak, bukti tanda pajak belu. dikirim. Transaksi lewat toko ijo, ada bea kirim. tanya di cs samsat setempat (sosmed) dijawab kalo tidak dikirim silakan ke samsat terdekat, kalo gitu mending datang langsung... 😇😇 digitalisasi harusnya semuanya, tidak lagi suruh balik ngurus offline. perlu ditingkatkan lagi ya min, moga tahun depan bisa lebih real digitalisasi nya",
Aji Seno,9 Juli 2025,2,"saya daftar bacaannya data tidak sesuai lah padahal saya daftar pake ktp saya asli, gajelas, mau bayar pajak kendaraan aja dipersulit, katanya lewat aplikasi bisa lebih mudah, baru daftar aja udah bikin orang darah tinggi, KOCAK",
Abdul Hakam,12 Juli 2025,4,"Masih ada bug, misal kayak kalo kita milih ngambil langsung, tapi ada biaya pengiriman (ini terjadi kalo awalnya kita mau dikirim tapi kita balik ke menu awal terus milih menu ambil sendiri, ada yang kurang di codenya mungkin), tapi kalo di bilang memudahkan, saya setuju",
Ade Irfan,2025-04-23 00:00:00,5,"Sangat membantu aplikasi ini,buat masukan aja ya ,,untuk pengiriman nya kalo bisa di percepat,ada pilihan pos kilat atau pake gosend yg deket,supaya tidak lama di pengiriman,soalnya ada pilihan 2 opsi sampai nya sama aja,selebihnya josss gandos.....mantappp",
Mercy Grace,2025-04-24 00:00:00,5,"Aplikasi ini sebenarnya sangat membantu bagi orang-orang yang akan membayar pajak tapi berada di luar domisili ktp. Tapi, aplikasi ini perlu terus ditingkatkan agar sistemnya bisa di akses dengan lancar. Karena terkadang saat mau membayar pajak, sistemnya suka eror. Terima kasih",
Alfian Eka,16 Juni 2025,1,mending tutup aplikasi nya. eror mulu. pelayanan lambat. kirain bayar dengan metode online lebih efektif tau nya malah makin parah dan menjadi jadi. ada ongkir tapi lemot banget gak dikirim kirim! bug dimana mana! user test dulu kalo mau di up ke public gak asal asalan bikin aplikasi,
